rel_path,comparison_class,raw_match,normalized_match,verdict,differing_columns
candidate_tracker/attempt_1/candidate_fundamental_bucket_reviews.csv,CONTENT,True,True,IDENTICAL,[]
candidate_tracker/attempt_1/candidate_fundamental_reviews.csv,CONTENT,True,True,IDENTICAL,[]
candidate_tracker/attempt_1/candidate_tracker_alerts.csv,STRICT,True,True,IDENTICAL,[]
candidate_tracker/attempt_1/candidate_tracker_current.csv,STRICT,True,True,IDENTICAL,[]
candidate_tracker/attempt_1/candidate_tracking_snapshots.csv,CONTENT,False,True,CONTENT_EQUIVALENT,[]
candidates/attempt_1/final_candidates.csv,STRICT,True,True,IDENTICAL,[]
events/attempt_1/events_triggers.csv,CONTENT,True,True,IDENTICAL,[]
execute/attempt_1/executed_fills.csv,CONTENT,False,True,CONTENT_EQUIVALENT,[]
execute/attempt_1/executed_orders.csv,CONTENT,False,True,CONTENT_EQUIVALENT,[]
execute/attempt_1/positions.csv,STRICT,True,True,IDENTICAL,[]
execute/attempt_1/trade_actions.csv,STRICT,True,True,IDENTICAL,[]
features_sector_earnings/attempt_1/sector_earnings_leadership.csv,CONTENT,True,True,IDENTICAL,[]
features_stock_valuation_bands/attempt_1/stock_valuation_bands_latest.csv,CONTENT,True,True,IDENTICAL,[]
fundamentals/attempt_1/company_growth_features.csv,CONTENT,False,True,CONTENT_EQUIVALENT,[]
fundamentals/attempt_1/company_insight_tags.csv,CONTENT,False,True,CONTENT_EQUIVALENT,[]
fundamentals/attempt_1/compounder_candidates.csv,CONTENT,False,True,CONTENT_EQUIVALENT,[]
fundamentals/attempt_1/compounder_candidates_latest.csv,CONTENT,True,True,IDENTICAL,[]
fundamentals/attempt_1/fundamental_scores.csv,CONTENT,True,True,IDENTICAL,[]
fundamentals/attempt_1/great_results.csv,CONTENT,False,True,CONTENT_EQUIVALENT,[]
fundamentals/attempt_1/great_results_latest.csv,CONTENT,True,True,IDENTICAL,[]
fundamentals/attempt_1/industry_fundamental_scores.csv,CONTENT,True,True,IDENTICAL,[]
fundamentals/attempt_1/industry_fundamental_trends.csv,CONTENT,True,True,IDENTICAL,[]
fundamentals/attempt_1/quarterly_result_scores.csv,CONTENT,False,True,CONTENT_EQUIVALENT,[]
fundamentals/attempt_1/sector_earnings_latest.csv,CONTENT,False,True,CONTENT_EQUIVALENT,[]
fundamentals/attempt_1/sector_earnings_leadership.csv,CONTENT,False,True,CONTENT_EQUIVALENT,[]
fundamentals/attempt_1/sector_valuation_daily.csv,CONTENT,False,True,CONTENT_EQUIVALENT,[]
fundamentals/attempt_1/sector_valuation_latest.csv,CONTENT,False,True,CONTENT_EQUIVALENT,[]
fundamentals/attempt_1/stock_valuation_bands_latest.csv,CONTENT,False,True,CONTENT_EQUIVALENT,[]
fundamentals/attempt_1/turnaround_candidates.csv,CONTENT,False,True,CONTENT_EQUIVALENT,[]
fundamentals/attempt_1/turnaround_candidates_latest.csv,CONTENT,True,True,IDENTICAL,[]
fundamentals/attempt_1/universe_valuation_daily.csv,CONTENT,False,True,CONTENT_EQUIVALENT,[]
fundamentals/attempt_1/universe_valuation_latest.csv,CONTENT,False,True,CONTENT_EQUIVALENT,[]
fundamentals/attempt_1/valuation_cycle_features.csv,CONTENT,False,True,CONTENT_EQUIVALENT,[]
